Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Liberal-Progressive Labour Independent Unknown
South-Battleford Vallance,John ROUTLEDGE,James-Anson 6049 6664 0 0 0 0 0 3439
Springfield Hay,Thomas Bissett,Edgar-Douglas-Richmond 5446 0 0 0 3617 1106 511 307
St.-Boniface Howden,John-Power COOK,Edgar-Honwell 4630 7045 0 0 0 1943 0 0
Stanstead Hackett,John-Thomas BROWN,Cecil-Lorne 5804 3900 0 0 0 0 1584 0
Stormont Shaver,Frank-Thomas Smith,Arnold-Neilson 7901 7326 0 0 0 0 0 0
Swift-Current Bothwell,Charles-Edward IRWIN,Oscar-M. 5456 6382 0 0 0 0 0 0
Terrebonne Parent,Louis-Étienne Fauteux,Guillaume-André 6727 8609 0 0 0 0 0 0
Timiskaming-North Bradette,Joseph CHENIER,David-Alexandre 7022 9586 0 0 0 0 0 0
Timiskaming-South Gordon,Wesley-Ashton Lang,Malcolm 8729 0 0 0 0 7195 0 0
Toronto-East Ryckman,Edmond-Baird ALLEN,Robert-A. 13423 6348 0 0 0 0 0 0
Toronto-East-Centre Matthews,Robert-Charles DONNELLY,Patrick 10949 5461 0 0 0 0 0 0
Toronto-Northeast Baker,Richard-Langton URQUHART,George-Alexander 16979 10701 0 0 0 0 0 0
Toronto-Northwest MacNicol,John-Ritchie MACRAE,Farguhar-John 14343 5513 0 0 0 0 0 0
Toronto-South Geary,George-Reginald MCINTYRE,Adam-Gordon 4635 2244 0 0 0 730 0 0
Toronto-West-Centre Factor,Samuel Church,Thomas-Langton 7803 8367 0 0 0 0 0 621
Toronto--High-Park Anderson,Alexander-James BOND,Aubrey-Albert 11807 5765 0 0 0 0 0 0
Toronto--Scarborough Harris,Joseph-Henry FORD,William-Henry 17122 6156 0 0 0 0 0 0
Trois-Rivières-et-Saint-Maurice Bettez,Arthur DURAND,Louis-D. 11083 14732 0 0 0 0 0 0
Témiscouata Pouliot,Jean-François DUBÉ,Charles-Eugène 8644 8761 0 0 0 0 0 0
Vancouver-Centre Mackenzie,Ian-Alistair Stevens,Henry-Herbert 10023 12064 0 0 0 0 0 0
Vancouver-North Munn,Albert-Edward McRae,Alexander-Duncan 5757 6799 0 0 0 0 0 0
Vancouver-South MacInnis,Angus Ladner,Leon-Johnson 14850 0 0 0 0 0 15732 0
Vancouver--Burrard Hanbury,Wilfred HAMILTON,Robert-James 13885 16619 0 0 0 0 687 266
Vaudreuil--Soulanges Thauvette,Joseph GAGNÉ,Horace-Joseph 2432 4313 0 0 0 0 1718 0
Vegreville Luchkovich,Michael GORDON,Charles 0 4500 0 5510 0 0 0 0
Victoria Plunkett,D'Arcy-Britton HENDERSON,Stuart-Alexander 8319 6303 0 0 0 0 0 0
Victoria Stinson,Thomas-Hubert CARLEY,Thomas-John 8999 6269 0 0 0 0 0 0
Victoria--Carleton Smith,Benjamin-Franklin Foster,Albion-Roudolph 8628 5776 0 0 0 0 0 0
Waterloo-North Euler,William-Daum Homuth,Karl-Kenneth 9732 12785 0 0 0 0 0 0
Waterloo-South Edwards,Alexander-McKay WIDDIFIELD,Charles-Russell 8999 4950 0 0 0 0 0 0
Welland Pettit,George-Hamilton Damude,Arthur-Byron 15503 13037 0 0 0 0 0 0
Wellington-North Blair,John-Knox Sinclair,Duncan 4626 4716 0 0 0 0 0 0
Wellington-South Guthrie,Hugh MITCHELL,John-Burr 8887 7893 0 0 0 0 0 0
Wentworth Wilson,Gordon-Crooks BIGGS,Frank-Campbell 13436 9628 0 0 0 0 0 1630
Westmorland Price,Otto-Baird Emmerson,Henry-Read 13304 10836 0 0 0 0 0 0
Wetaskiwin Irvine,William RUSSELL,Charles-Homer 4326 2876 0 4750 0 0 0 0
Weyburn Young,Edward-James MORLEY,John-Rennie 5723 7259 1433 0 0 0 0 0
Willow-Bunch Donnelly,Thomas-F. HOATH,Robert-Bingham 8992 9730 0 0 0 0 0 0
Winnipeg-North Heaps,Abraham-Albert Blake,Matthew-Robert 5011 2164 0 0 0 6907 0 0
Winnipeg-North-Centre Woodsworth,James-Shaver GARGAN,Thomas 0 0 0 0 0 8265 2028 0
Winnipeg-South Rogers,Robert McDiarmid,John-Stewart 10117 9774 0 0 0 0 256 0
Winnipeg-South-Centre Kennedy,William-Walker Thorson,Joseph-Thorarinn 17355 13637 0 0 0 0 0 0
Wright Perras,Fizalam-William COUSINEAU,Louis 4932 6015 0 0 0 0 0 0
Yale Stirling,Grote WILKINS,Walter-Gordon 8447 4908 0 0 0 0 0 0
Yamaska Boucher,Aimé Comtois,Paul 3504 3505 0 0 0 0 0 0
York-North Lennox,Thomas-Herbert Mulock,William-Pate 10402 10104 0 0 0 0 0 0
York-South McGregor,Robert-Henry MCCARTHY,Dennis 11852 5394 0 0 0 0 0 0
York-West Lawson,James-Earl EDWARDS,William-Arthur 20843 11368 0 0 0 0 0 0
York--Sunbury Hanson,Richard-Burpee WINSLOW,J.J.-Fraser 10166 4552 0 0 0 0 0 0
Yorkton McPhee,George-Washington BARBOUR,Robert 0 6887 0 0 0 0 5406 0
Yukon Black,George THOMPSON,William-Edward 846 557 0 0 0 0 0 0
