Riding winner loser Conservative Liberal Independent Labour Socialist Nationalist Unknown
Soulanges Laurier,Wilfrid Lortie,Joseph-Arthur 903 1045 0 0 0 0 0
Souris Schaffner,Frederick-Laurence Damerla,Dipika 3150 3086 0 0 0 0 0
Stanstead Lovell,Charles-Henry PAIGE,George-Waldo 2106 2310 0 0 0 0 0
Stormont Alguire,Duncan-Orestes GOGO,George-Ira 2539 2408 0 0 0 0 0
Strathcona Douglas,James-McCrie CAMPBELL,George-Benjamin 2872 5396 0 0 0 0 0
Sunbury--Queen's McLean,Hugh-Havelock SMITH,Luther-Benjamin 2010 2020 0 0 0 0 0
Terrebonne Nantel,Wilfrid-Bruno Desjardins,Samuel 2727 2101 0 0 0 0 0
Thunder-Bay-and-Rainy-River Carrick,John-James None 1 0 0 0 0 0 0
Toronto-Centre Bristol,Edmund-James MACGUIRE,Charles-Alfred 5156 2994 0 0 0 0 0
Toronto-East Kemp,Albert-Edward Russell,Joseph 7082 1878 2281 463 0 0 0
Toronto-North Foster,George-Eulas SHAW,William-Henry 6474 3157 0 0 0 0 0
Toronto-South Macdonell,Angus-Claude WARD,John-Joseph 4473 2110 0 0 0 0 0
Toronto-West Osler,Edmund-Boyd WALDRON,Gordon 11442 3437 0 0 0 0 0
Trois-Rivières-et-Saint-Maurice Bureau,Jacques NORMAND,Louis-Philippe 3146 3155 0 0 0 0 0
Témiscouata Gauvreau,Charles-Arthur LEBEL,Luc 2701 2913 0 0 0 0 0
Vancouver-City Stevens,Henry-Herbert SENKLER,John-Harold 6902 3796 0 0 1056 0 0
Vaudreuil Boyer,Gustave-Benjamin MACDONALD,Archibald-de-Léry 1130 1345 0 0 0 0 0
Victoria White,William-Henry MORRISON,Frederick-Augustus 2702 3225 719 0 0 0 0
Victoria Michaud,Pius Cormier,Maximilien-Dominic-(Maxime) 1111 3059 0 0 0 0 0
Victoria Hughes,Samuel BEGG,James-Burnett 4001 0 0 0 0 0 2707
Victoria-City Barnard,George-Henry Templeman,William 2816 2332 0 0 290 0 0
North-Cape-Breton-and-Victoria McKenzie,Daniel-Duncan MACCORMACK,John 2803 3418 0 0 0 0 0
Waterloo-North Weichel,William-George King,William-Lyon-Mackenzie 3774 3459 0 0 0 0 0
Waterloo-South Clare,George-Adam MOYER,Sylvester 3492 2639 0 0 0 0 0
Welland German,William-Manley None 0 1 0 0 0 0 0
Wellington-North Clarke,William-Aurelius Martin,Alexander-Munro 2530 2505 0 0 0 0 0
Wellington-South Guthrie,Hugh EVANS,Arthur-Thomas-Kelly 2744 3368 0 0 0 0 0
Wentworth Wilson,Gordon-Crooks Sealey,William-Oscar 3832 2939 0 0 0 0 0
