Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
St.-John--Albert Baxter,John-Babington-Macaulay--and--MacLaren,Murray MCLELLAN,Harry-Richards 11646 10531 985 0 1224 0 0 0
Saint-Antoine Mitchell,Walter-George ROSS,William-Gillies 5274 9056 0 0 0 0 0 0
Saint-Denis Denis,Joseph-Arthur GAUTHIER,Joseph-Cyriac 0 18703 0 0 0 3738 0 1366
Saint-Hyacinthe--Rouville Morin,Louis-Simon-René Gauthier,Louis-Joseph 4627 9425 0 0 0 0 0 0
Saint-Jacques Rinfret,Louis-Édouard-Fernand GAUTHIER,André-Rémi-Odilon-Léon 968 11216 0 0 0 625 0 0
Saint-Jean--Iberville Demers,Joseph MAILLOUX,Victor 460 6618 0 0 0 0 0 0
Saint-Laurent--Saint-Georges Marler,Herbert-Meredith Ballantyne,Charles-Colquhoun 5275 7836 0 0 510 0 0 0
Saint-Anne Walsh,Joseph-Charles COONAN,Thomas-Joseph 5494 10742 0 0 0 1081 0 0
Saint-Marie Deslauriers,Hermas Germain,Augustain 799 15262 0 0 0 4505 0 0
Saltcoats Sales,Thomas CHRISTIE,Hugh-Herbert 0 2986 6335 0 0 0 0 1714
Saskatoon Evans,John STEWART,Peter-Donald 2909 3943 8057 0 0 0 0 0
Selkirk Bancroft,Leland-Payson ADAMSON,John-Evans 2347 1239 6529 0 1425 3315 0 0
Shefford Boivin,Georges-Henri BEAUDRY,Hormisdas 0 6318 0 0 0 2636 0 0
Shelburne-and-Queen's Fielding,William-Stevens HALL,William-Lorimer 4520 5237 0 0 0 0 0 0
Sherbrooke-(Town-of) McCrea,Francis-N. WORTHINGTON,Edward-Bruen 4535 9043 0 0 0 0 0 0
Simcoe-East Chew,Thomas-Edward-Manley RAIKES,Richard 4810 7414 3414 0 0 0 0 0
Simcoe-North Ross,Thomas-Edwin Currie,John-Allister 4489 0 5298 0 0 527 0 0
Simcoe-South Boys,William-Alves JEFFS,Compton-Barker 6509 0 4758 0 0 0 0 0
