FEDUID Riding Liberal Conservative NDP Green Bloc-Quebecois Independent
59010 Cowichan-Malahat-Langford 10320 17870 26968 3922 0 0
59011 Delta 22105 17695 9591 1244 0 379
59012 Fleetwood-Port-Kells 21350 14553 8960 892 0 146
59013 Kamloops-Thompson-Cariboo 12717 30281 20431 2576 0 410
59014 Kelowna-Lake-Country 17767 30409 12204 2074 0 0
59015 Kootenay-Columbia 5879 28056 23986 2577 0 0
59016 Langley-Aldergrove 16565 28643 12288 1798 0 0
59017 Mission-Matsqui-Fraser-Canyon 10598 18908 8709 1887 0 0
59018 Nanaimo-Ladysmith 9314 18627 19826 17640 0 0
59019 New-Westminster-Burnaby 11685 9710 24054 2035 0 0
59020 North-Okanagan-Shuswap 13666 33626 13929 3967 0 0
59021 North-Vancouver 26756 16671 11750 2598 0 0
59022 Pitt-Meadows-Maple-Ridge 13179 19371 16869 0 0 453
59023 Port-Moody-Coquitlam 14231 16605 19367 0 0 0
59024 Prince-George-Peace-River-Northern-Rockies 4236 29882 6647 0 0 0
59025 Richmond-Centre 13440 12668 6196 1109 0 0
59026 Esquimalt-Saanich-Sooke 14466 13885 28056 5891 0 0
59027 Saanich-Gulf-Islands 12056 14775 11959 24648 0 0
59028 Skeena-Bulkley-Valley 2866 13513 15921 1406 0 0
59029 South-Okanagan-West-Kootenay 8159 23675 27595 2485 0 0
59030 South-Surrey-White-Rock 22166 24158 8395 0 0 0
59031 Steveston-Richmond-East 16543 13066 7525 860 0 0
59032 Surrey-Centre 16862 8094 10627 838 0 0
59033 Surrey-Newton 19721 5758 9536 0 0 628
59034 Vancouver-Centre 20873 11162 15869 2030 0 0
59035 Vancouver-East 9797 5399 27969 3826 0 0
59036 Vancouver-Granville 17050 13280 16619 1434 0 0
59037 North-Island-Powell-River 7922 21670 23833 3656 0 0
59038 Vancouver-Kingsway 11022 5456 20994 1575 0 0
59039 Vancouver-Quadra 20814 13786 9220 2922 0 0
59040 Vancouver-South 19910 9060 9922 0 0 0
59041 Victoria 18194 9152 29301 7472 0 0
59042 West-Vancouver-Sunshine-Coast-Sea-to-Sky-Country 21500 19062 16265 4108 0 127
60001 Yukon 6471 5096 4354 846 0 2639
61001 Northwest-Territories 5387 2031 4558 328 0 1791
62001 Nunavut 2578 1184 3427 0 0 0
